batting_team,bowling_team,venue,batsman,bowler,over,ball,current_score,wickets,runs_last_5_overs,wickets_last_5_overs,final_score
Rajasthan Royals,Sunrisers Hyderabad,PCA Stadium Mohali,Sanju Samson,Marco Jansen,9,3,83,3,50,1,170
Delhi Capitals,Chennai Super Kings,HPCA Stadium Dharamsala,Jake Fraser-McGurk,Matheesha Pathirana,18,4,157,3,46,2,161
Mumbai Indians,Royal Challengers Bangalore,Arun Jaitley Stadium,Rohit Sharma,Reece Topley,13,2,92,4,22,0,182
Mumbai Indians,Lucknow Super Giants,Arun Jaitley Stadium,Hardik Pandya,Yash Thakur,19,5,189,5,75,0,199
Kolkata Knight Riders,Delhi Capitals,Eden Gardens,Shreyas Iyer,Anrich Nortje,12,4,98,2,63,2,173
Gujarat Titans,Rajasthan Royals,HPCA Stadium Dharamsala,David Miller,Yuzvendra Chahal,6,3,60,3,13,0,205
Punjab Kings,Rajasthan Royals,Wankhede Stadium,Rilee Rossouw,Avesh Khan,19,5,199,6,51,1,220
Rajasthan Royals,Kolkata Knight Riders,Ekana Cricket Stadium,Yashasvi Jaiswal,Mitchell Starc,9,2,68,4,65,0,133
Lucknow Super Giants,Rajasthan Royals,Wankhede Stadium,Kyle Mayers,Yuzvendra Chahal,14,4,116,3,45,0,165
Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,Glenn Maxwell,Avesh Khan,20,5,147,6,21,0,148
Sunrisers Hyderabad,Lucknow Super Giants,HPCA Stadium Dharamsala,Mayank Agarwal,Yash Thakur,20,2,190,6,57,1,191
Punjab Kings,Mumbai Indians,Arun Jaitley Stadium,Prabhsimran Singh,Shreyas Gopal,1,4,15,0,64,2,290
Delhi Capitals,Kolkata Knight Riders,Sawai Mansingh Stadium,Rishabh Pant,Sunil Narine,14,3,126,4,57,2,163
Chennai Super Kings,Kolkata Knight Riders,Narendra Modi Stadium,Ruturaj Gaikwad,Sunil Narine,17,5,121,8,27,0,141
Rajasthan Royals,Punjab Kings,Eden Gardens,Shubham Dubey,Kagiso Rabada,18,4,127,5,20,0,128
Punjab Kings,Mumbai Indians,M. Chinnaswamy Stadium,Shikhar Dhawan,Dilshan Madushanka,7,1,81,3,52,0,256
Punjab Kings,Royal Challengers Bangalore,Ekana Cricket Stadium,Jitesh Sharma,Vyshak Vijaykumar,18,4,159,7,33,0,194
Delhi Capitals,Punjab Kings,Wankhede Stadium,Tristan Stubbs,Kagiso Rabada,10,5,93,6,30,0,165
Chennai Super Kings,Sunrisers Hyderabad,Ekana Cricket Stadium,Sameer Rizvi,Pat Cummins,18,5,143,8,18,1,158
Sunrisers Hyderabad,Lucknow Super Giants,Eden Gardens,Glenn Phillips,Matt Henry,18,5,162,10,46,0,183
Kolkata Knight Riders,Delhi Capitals,Arun Jaitley Stadium,Rinku Singh,Axar Patel,6,4,42,2,44,1,140
Mumbai Indians,Punjab Kings,Eden Gardens,Rohit Sharma,Rahul Chahar,8,5,65,5,46,4,153
Mumbai Indians,Rajasthan Royals,Barsapara Stadium Guwahati,Romario Shepherd,R Ashwin,5,4,36,4,39,1,129
Royal Challengers Bangalore,Rajasthan Royals,Rajiv Gandhi Intl. Cricket Stadium,Cameron Green,Avesh Khan,5,1,29,0,44,0,119
Rajasthan Royals,Royal Challengers Bangalore,Rajiv Gandhi Intl. Cricket Stadium,Rovman Powell,Vyshak Vijaykumar,14,1,139,1,40,0,175
Delhi Capitals,Sunrisers Hyderabad,PCA Stadium Mohali,Rishabh Pant,Mayank Markande,9,3,65,3,48,1,147
Punjab Kings,Royal Challengers Bangalore,Barsapara Stadium Guwahati,Shashank Singh,Lockie Ferguson,15,3,126,3,44,0,180
Punjab Kings,Delhi Capitals,Rajiv Gandhi Intl. Cricket Stadium,Sam Curran,Anrich Nortje,6,2,28,1,43,0,108
Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi Intl. Cricket Stadium,Heinrich Klaasen,Gerald Coetzee,9,4,81,2,44,3,177
Punjab Kings,Lucknow Super Giants,Narendra Modi Stadium,Rilee Rossouw,Matt Henry,8,1,54,1,40,1,149
Gujarat Titans,Mumbai Indians,Sawai Mansingh Stadium,Kane Williamson,Piyush Chawla,20,2,186,3,72,1,197
Kolkata Knight Riders,Delhi Capitals,Ekana Cricket Stadium,Manish Pandey,Axar Patel,9,3,72,3,28,0,161
Delhi Capitals,Mumbai Indians,Barsapara Stadium Guwahati,Prithvi Shaw,Shreyas Gopal,19,1,130,4,46,1,153
Punjab Kings,Delhi Capitals,Narendra Modi Stadium,Liam Livingstone,Kuldeep Yadav,8,1,49,2,43,1,124
Chennai Super Kings,Royal Challengers Bangalore,Sawai Mansingh Stadium,Shivam Dube,Reece Topley,9,3,82,1,56,0,190
Lucknow Super Giants,Punjab Kings,Barsapara Stadium Guwahati,Quinton de Kock,Arshdeep Singh,10,2,74,4,52,1,131
Lucknow Super Giants,Sunrisers Hyderabad,Arun Jaitley Stadium,Ayush Badoni,Marco Jansen,18,3,196,4,72,1,238
Lucknow Super Giants,Delhi Capitals,HPCA Stadium Dharamsala,Marcus Stoinis,Mukesh Kumar,20,1,170,3,39,0,171
Mumbai Indians,Delhi Capitals,Eden Gardens,Romario Shepherd,Anrich Nortje,17,4,160,7,54,3,216
Delhi Capitals,Sunrisers Hyderabad,Ekana Cricket Stadium,Abishek Porel,Washington Sundar,5,4,59,3,39,3,227
Royal Challengers Bangalore,Chennai Super Kings,Arun Jaitley Stadium,Virat Kohli,Mustafizur Rahman,7,4,35,1,59,1,136
Delhi Capitals,Gujarat Titans,Barsapara Stadium Guwahati,Mitchell Marsh,Umesh Yadav,18,1,172,4,36,1,207
Rajasthan Royals,Gujarat Titans,Rajiv Gandhi Intl. Cricket Stadium,Riyan Parag,Umesh Yadav,10,5,86,3,49,1,189
Lucknow Super Giants,Kolkata Knight Riders,HPCA Stadium Dharamsala,KL Rahul,Varun Chakaravarthy,10,4,76,5,34,0,144
Mumbai Indians,Royal Challengers Bangalore,MA Chidambaram Stadium,Tim David,Mohammed Siraj,14,1,120,8,61,2,179
Rajasthan Royals,Punjab Kings,M. Chinnaswamy Stadium,Rovman Powell,Harshal Patel,5,5,49,3,46,1,207
Gujarat Titans,Punjab Kings,Ekana Cricket Stadium,Sai Sudharsan,Kagiso Rabada,20,5,137,10,46,0,145
Rajasthan Royals,Punjab Kings,PCA Stadium Mohali,Sanju Samson,Kagiso Rabada,11,5,83,4,64,0,146
Punjab Kings,Lucknow Super Giants,MA Chidambaram Stadium,Ashutosh Sharma,Matt Henry,16,6,124,6,48,1,175
Chennai Super Kings,Mumbai Indians,Eden Gardens,MS Dhoni,Piyush Chawla,5,3,57,0,33,0,246
Sunrisers Hyderabad,Rajasthan Royals,PCA Stadium Mohali,Abhishek Sharma,Navdeep Saini,11,1,95,2,44,2,198
Chennai Super Kings,Kolkata Knight Riders,Ekana Cricket Stadium,Sameer Rizvi,Mitchell Starc,8,6,60,2,43,1,158
Kolkata Knight Riders,Lucknow Super Giants,M. Chinnaswamy Stadium,Nitish Rana,Naveen-ul-Haq,9,3,66,3,67,0,121
Sunrisers Hyderabad,Lucknow Super Giants,Eden Gardens,Abdul Samad,Shamar Joseph,5,5,48,2,62,2,193
Gujarat Titans,Rajasthan Royals,Wankhede Stadium,Wriddhiman Saha,Navdeep Saini,9,1,96,3,61,2,249
Chennai Super Kings,Mumbai Indians,Eden Gardens,Ruturaj Gaikwad,Gerald Coetzee,12,1,92,8,29,0,134
Royal Challengers Bangalore,Chennai Super Kings,Barsapara Stadium Guwahati,Anuj Rawat,Ravindra Jadeja,10,4,63,1,31,2,137
Gujarat Titans,Royal Challengers Bangalore,Rajiv Gandhi Intl. Cricket Stadium,Shahrukh Khan,Mohammed Siraj,17,5,131,6,23,2,186
Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,Ajinkya Rahane,Anrich Nortje,18,6,134,5,53,1,172
Sunrisers Hyderabad,Gujarat Titans,Barsapara Stadium Guwahati,Glenn Phillips,Umesh Yadav,13,4,120,5,38,0,194
Mumbai Indians,Rajasthan Royals,Arun Jaitley Stadium,Hardik Pandya,Avesh Khan,8,3,60,3,39,2,150
Gujarat Titans,Kolkata Knight Riders,Rajiv Gandhi Intl. Cricket Stadium,Vijay Shankar,Mitchell Starc,11,3,64,4,23,1,101
Mumbai Indians,Punjab Kings,Barsapara Stadium Guwahati,Rohit Sharma,Kagiso Rabada,17,2,151,2,51,2,176
Royal Challengers Bangalore,Lucknow Super Giants,Narendra Modi Stadium,Dinesh Karthik,Mayank Yadav,1,3,12,1,18,2,261
Lucknow Super Giants,Punjab Kings,Rajiv Gandhi Intl. Cricket Stadium,Ayush Badoni,Rahul Chahar,11,4,61,3,21,1,83
Delhi Capitals,Sunrisers Hyderabad,Sawai Mansingh Stadium,Abishek Porel,Umran Malik,2,2,17,1,59,3,155
Delhi Capitals,Lucknow Super Giants,PCA Stadium Mohali,Prithvi Shaw,Mohsin Khan,10,3,78,2,18,2,164
Chennai Super Kings,Punjab Kings,Eden Gardens,Sameer Rizvi,Nathan Ellis,5,3,48,2,25,0,204
Chennai Super Kings,Sunrisers Hyderabad,Narendra Modi Stadium,Moeen Ali,Umran Malik,12,5,109,3,59,1,170
Rajasthan Royals,Punjab Kings,Eden Gardens,Riyan Parag,Nathan Ellis,20,1,146,10,34,0,153
Mumbai Indians,Chennai Super Kings,Narendra Modi Stadium,Hardik Pandya,Deepak Chahar,1,2,10,2,39,0,195
Punjab Kings,Chennai Super Kings,MA Chidambaram Stadium,Shikhar Dhawan,Shardul Thakur,2,6,9,1,29,1,100
Rajasthan Royals,Delhi Capitals,Narendra Modi Stadium,Riyan Parag,Khaleel Ahmed,16,3,126,3,35,1,198
Royal Challengers Bangalore,Sunrisers Hyderabad,Narendra Modi Stadium,Rajat Patidar,Jaydev Unadkat,12,3,113,2,50,2,220
Sunrisers Hyderabad,Kolkata Knight Riders,MA Chidambaram Stadium,Nitish Kumar Reddy,Sunil Narine,9,1,88,0,42,1,190
Kolkata Knight Riders,Gujarat Titans,PCA Stadium Mohali,Nitish Rana,Noor Ahmad,2,1,0,0,45,0,32
Delhi Capitals,Rajasthan Royals,PCA Stadium Mohali,Jake Fraser-McGurk,R Ashwin,1,1,0,1,37,0,1
Sunrisers Hyderabad,Royal Challengers Bangalore,Ekana Cricket Stadium,Travis Head,Akash Deep,15,3,112,7,46,2,185
Rajasthan Royals,Kolkata Knight Riders,Ekana Cricket Stadium,Shimron Hetmyer,Sunil Narine,8,1,73,2,39,1,166
Lucknow Super Giants,Kolkata Knight Riders,Eden Gardens,Devdutt Padikkal,Chetan Sakariya,1,3,9,1,37,0,169
Lucknow Super Giants,Punjab Kings,Ekana Cricket Stadium,Marcus Stoinis,Harshal Patel,8,4,56,3,31,2,130
Sunrisers Hyderabad,Rajasthan Royals,Wankhede Stadium,Nitish Kumar Reddy,R Ashwin,15,6,126,4,19,1,184
Mumbai Indians,Sunrisers Hyderabad,PCA Stadium Mohali,Ishan Kishan,Washington Sundar,14,4,112,2,30,2,151
Punjab Kings,Delhi Capitals,Barsapara Stadium Guwahati,Sam Curran,Lalit Yadav,16,3,130,3,23,2,151
Delhi Capitals,Gujarat Titans,Rajiv Gandhi Intl. Cricket Stadium,Mitchell Marsh,Mohammed Shami,20,5,160,10,31,0,173
Lucknow Super Giants,Chennai Super Kings,Eden Gardens,Nicholas Pooran,Mustafizur Rahman,20,6,172,6,40,3,188
Mumbai Indians,Delhi Capitals,Eden Gardens,Suryakumar Yadav,Kuldeep Yadav,7,1,37,4,53,1,99
Rajasthan Royals,Sunrisers Hyderabad,Eden Gardens,Jos Buttler,Washington Sundar,20,2,152,10,38,0,170
Chennai Super Kings,Rajasthan Royals,Narendra Modi Stadium,Ajinkya Rahane,Sandeep Sharma,2,2,12,1,49,2,122
Sunrisers Hyderabad,Chennai Super Kings,PCA Stadium Mohali,Rahul Tripathi,Tushar Deshpande,6,6,62,4,40,2,208
Delhi Capitals,Punjab Kings,HPCA Stadium Dharamsala,Jake Fraser-McGurk,Harpreet Brar,9,3,86,6,32,1,193
Rajasthan Royals,Delhi Capitals,Rajiv Gandhi Intl. Cricket Stadium,Rovman Powell,Ishant Sharma,4,3,34,0,53,2,178
Rajasthan Royals,Royal Challengers Bangalore,Eden Gardens,Riyan Parag,Vyshak Vijaykumar,10,1,87,3,43,0,211
Chennai Super Kings,Mumbai Indians,Sawai Mansingh Stadium,Ruturaj Gaikwad,Akash Madhwal,8,2,63,7,51,0,169
Mumbai Indians,Sunrisers Hyderabad,HPCA Stadium Dharamsala,Dewald Brevis,Mayank Markande,18,6,145,2,50,0,165
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Phil Salt,Jaydev Unadkat,19,5,185,5,42,2,210
Royal Challengers Bangalore,Mumbai Indians,Narendra Modi Stadium,Rajat Patidar,Jasprit Bumrah,9,2,70,3,41,1,164
Lucknow Super Giants,Mumbai Indians,MA Chidambaram Stadium,Deepak Hooda,Gerald Coetzee,2,5,9,0,55,0,81
Chennai Super Kings,Sunrisers Hyderabad,Ekana Cricket Stadium,Ruturaj Gaikwad,Bhuvneshwar Kumar,16,4,148,10,33,0,166
Delhi Capitals,Chennai Super Kings,Barsapara Stadium Guwahati,Rishabh Pant,Deepak Chahar,16,3,129,10,55,0,149
Sunrisers Hyderabad,Chennai Super Kings,Sawai Mansingh Stadium,Rahul Tripathi,Maheesh Theekshana,19,1,153,7,30,0,188
Lucknow Super Giants,Delhi Capitals,Rajiv Gandhi Intl. Cricket Stadium,Deepak Hooda,Khaleel Ahmed,13,3,104,6,36,0,181
Punjab Kings,Rajasthan Royals,Wankhede Stadium,Sam Curran,Trent Boult,20,4,159,8,26,2,160
Sunrisers Hyderabad,Royal Challengers Bangalore,Rajiv Gandhi Intl. Cricket Stadium,Rahul Tripathi,Reece Topley,17,1,130,4,37,1,172
Chennai Super Kings,Mumbai Indians,Arun Jaitley Stadium,Daryl Mitchell,Piyush Chawla,20,3,158,5,25,1,187
Lucknow Super Giants,Gujarat Titans,Eden Gardens,Ayush Badoni,Noor Ahmad,10,1,81,1,35,2,185
Royal Challengers Bangalore,Rajasthan Royals,Rajiv Gandhi Intl. Cricket Stadium,Will Jacks,Yuzvendra Chahal,16,4,124,3,40,3,161
Lucknow Super Giants,Mumbai Indians,M. Chinnaswamy Stadium,Deepak Hooda,Jasprit Bumrah,5,3,39,3,60,2,158
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Rinku Singh,Marco Jansen,7,4,59,2,55,1,187
Rajasthan Royals,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Jos Buttler,Mohammed Siraj,19,6,149,8,23,2,185
Delhi Capitals,Sunrisers Hyderabad,Barsapara Stadium Guwahati,Harry Brook,Marco Jansen,18,4,147,3,34,0,153
Punjab Kings,Gujarat Titans,Barsapara Stadium Guwahati,Sam Curran,Mohammed Shami,5,1,37,2,24,2,163
Gujarat Titans,Sunrisers Hyderabad,Arun Jaitley Stadium,Kane Williamson,Bhuvneshwar Kumar,8,5,69,1,47,1,167
Mumbai Indians,Chennai Super Kings,Rajiv Gandhi Intl. Cricket Stadium,Tim David,Tushar Deshpande,17,2,139,5,46,0,183
Punjab Kings,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Shikhar Dhawan,Umran Malik,15,4,116,4,58,2,137
Gujarat Titans,Delhi Capitals,MA Chidambaram Stadium,Kane Williamson,Jhye Richardson,3,4,30,1,52,0,211
Lucknow Super Giants,Mumbai Indians,Wankhede Stadium,Devdutt Padikkal,Dilshan Madushanka,1,6,13,0,61,0,274
Kolkata Knight Riders,Lucknow Super Giants,Rajiv Gandhi Intl. Cricket Stadium,Manish Pandey,Mohsin Khan,9,2,60,0,20,0,146
Gujarat Titans,Punjab Kings,Rajiv Gandhi Intl. Cricket Stadium,Sai Sudharsan,Harpreet Brar,14,4,127,6,44,1,194
Lucknow Super Giants,Sunrisers Hyderabad,PCA Stadium Mohali,Marcus Stoinis,Marco Jansen,10,6,103,5,48,0,217
Delhi Capitals,Kolkata Knight Riders,Wankhede Stadium,Mitchell Marsh,Harshit Rana,12,3,90,7,37,0,150
Chennai Super Kings,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Sameer Rizvi,Reece Topley,6,6,58,3,25,1,190
Lucknow Super Giants,Gujarat Titans,Rajiv Gandhi Intl. Cricket Stadium,Deepak Hooda,Mohit Sharma,8,1,57,1,38,1,135
Delhi Capitals,Sunrisers Hyderabad,Barsapara Stadium Guwahati,Rishabh Pant,T Natarajan,13,6,124,1,50,0,189
Punjab Kings,Kolkata Knight Riders,Arun Jaitley Stadium,Rilee Rossouw,Sunil Narine,6,1,45,3,43,2,144
Gujarat Titans,Royal Challengers Bangalore,Sawai Mansingh Stadium,Vijay Shankar,Vyshak Vijaykumar,4,6,47,3,28,0,197
Lucknow Super Giants,Chennai Super Kings,PCA Stadium Mohali,Deepak Hooda,Mukesh Choudhary,15,3,125,3,39,0,167
Delhi Capitals,Gujarat Titans,Rajiv Gandhi Intl. Cricket Stadium,Tristan Stubbs,Umesh Yadav,1,6,7,2,38,1,157
Punjab Kings,Rajasthan Royals,Rajiv Gandhi Intl. Cricket Stadium,Jonny Bairstow,Navdeep Saini,15,2,150,5,53,2,208
Royal Challengers Bangalore,Delhi Capitals,MA Chidambaram Stadium,Virat Kohli,Axar Patel,4,1,19,2,30,0,116
Rajasthan Royals,Sunrisers Hyderabad,Arun Jaitley Stadium,Rovman Powell,Jaydev Unadkat,1,1,8,0,22,0,162
Punjab Kings,Gujarat Titans,Wankhede Stadium,Liam Livingstone,Mohit Sharma,15,6,145,7,44,1,209
Sunrisers Hyderabad,Kolkata Knight Riders,Narendra Modi Stadium,Rahul Tripathi,Harshit Rana,17,1,118,5,31,0,127
Gujarat Titans,Sunrisers Hyderabad,M. Chinnaswamy Stadium,Vijay Shankar,T Natarajan,19,2,120,9,40,0,143
Chennai Super Kings,Royal Challengers Bangalore,Sawai Mansingh Stadium,Devon Conway,Mohammed Siraj,2,1,30,0,57,1,290
Punjab Kings,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Rilee Rossouw,Marco Jansen,11,4,99,1,44,2,165
Mumbai Indians,Gujarat Titans,HPCA Stadium Dharamsala,Nehal Wadhera,Mohammed Shami,1,6,23,0,41,1,290
Delhi Capitals,Chennai Super Kings,PCA Stadium Mohali,Abishek Porel,Mustafizur Rahman,16,2,122,2,52,2,148
Chennai Super Kings,Delhi Capitals,Arun Jaitley Stadium,Daryl Mitchell,Anrich Nortje,7,4,47,3,22,1,152
Royal Challengers Bangalore,Lucknow Super Giants,Wankhede Stadium,Faf du Plessis,Amit Mishra,1,4,0,0,31,0,12
Kolkata Knight Riders,Lucknow Super Giants,Narendra Modi Stadium,Manish Pandey,Amit Mishra,10,6,88,1,51,1,180
Punjab Kings,Chennai Super Kings,Narendra Modi Stadium,Rilee Rossouw,Maheesh Theekshana,12,3,101,5,40,1,178
Gujarat Titans,Kolkata Knight Riders,MA Chidambaram Stadium,David Miller,Mitchell Starc,12,4,88,3,59,2,170
Rajasthan Royals,Chennai Super Kings,Eden Gardens,Riyan Parag,Maheesh Theekshana,10,2,83,3,72,1,199
Rajasthan Royals,Chennai Super Kings,HPCA Stadium Dharamsala,Shimron Hetmyer,Ravindra Jadeja,17,1,156,6,35,1,202
Rajasthan Royals,Sunrisers Hyderabad,Ekana Cricket Stadium,Shubham Dubey,Umran Malik,1,1,9,1,38,0,185
Mumbai Indians,Royal Challengers Bangalore,HPCA Stadium Dharamsala,Nehal Wadhera,Lockie Ferguson,19,4,186,10,40,0,213
Mumbai Indians,Punjab Kings,M. Chinnaswamy Stadium,Hardik Pandya,Arshdeep Singh,12,6,126,5,45,0,209
Chennai Super Kings,Gujarat Titans,Arun Jaitley Stadium,Ajinkya Rahane,Spencer Johnson,5,3,19,3,65,0,56
Chennai Super Kings,Rajasthan Royals,Ekana Cricket Stadium,Ajinkya Rahane,Navdeep Saini,13,4,92,6,31,2,150
Gujarat Titans,Rajasthan Royals,Rajiv Gandhi Intl. Cricket Stadium,Abhinav Manohar,Trent Boult,20,6,199,9,50,1,200
Rajasthan Royals,Royal Challengers Bangalore,HPCA Stadium Dharamsala,Shimron Hetmyer,Reece Topley,8,3,51,5,24,0,143
Chennai Super Kings,Royal Challengers Bangalore,Barsapara Stadium Guwahati,Devon Conway,Lockie Ferguson,9,6,50,5,34,0,95
Delhi Capitals,Mumbai Indians,Ekana Cricket Stadium,Prithvi Shaw,Luke Wood,8,3,54,0,30,1,129
Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens,Shreyas Iyer,Bhuvneshwar Kumar,8,6,60,4,38,2,133
Gujarat Titans,Delhi Capitals,Arun Jaitley Stadium,Vijay Shankar,Ishant Sharma,18,6,167,10,50,0,189
Royal Challengers Bangalore,Punjab Kings,M. Chinnaswamy Stadium,Dinesh Karthik,Kagiso Rabada,15,6,97,7,43,1,131
Punjab Kings,Chennai Super Kings,Eden Gardens,Jonny Bairstow,Ravindra Jadeja,11,2,85,7,24,0,175
Rajasthan Royals,Mumbai Indians,Wankhede Stadium,Riyan Parag,Dilshan Madushanka,8,2,61,1,38,0,186
Kolkata Knight Riders,Sunrisers Hyderabad,Ekana Cricket Stadium,Manish Pandey,Mayank Markande,20,4,151,7,33,0,152
Gujarat Titans,Rajasthan Royals,Barsapara Stadium Guwahati,Shahrukh Khan,Trent Boult,20,1,213,7,49,1,214
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Rohit Sharma,Harshit Rana,16,1,136,8,51,1,194
Mumbai Indians,Royal Challengers Bangalore,Rajiv Gandhi Intl. Cricket Stadium,Dewald Brevis,Karn Sharma,1,5,4,0,19,0,66
Delhi Capitals,Royal Challengers Bangalore,Arun Jaitley Stadium,Mitchell Marsh,Vyshak Vijaykumar,3,3,41,0,40,1,290
Chennai Super Kings,Mumbai Indians,Ekana Cricket Stadium,Shivam Dube,Akash Madhwal,15,2,144,9,48,0,202
Gujarat Titans,Chennai Super Kings,HPCA Stadium Dharamsala,David Miller,Mustafizur Rahman,2,2,2,0,47,0,20
Kolkata Knight Riders,Gujarat Titans,Wankhede Stadium,Shreyas Iyer,Rashid Khan,5,1,14,1,21,0,38
Punjab Kings,Kolkata Knight Riders,Narendra Modi Stadium,Rilee Rossouw,Varun Chakaravarthy,8,2,69,5,39,1,198
Lucknow Super Giants,Mumbai Indians,Ekana Cricket Stadium,Nicholas Pooran,Luke Wood,2,3,14,0,62,0,130
Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi Intl. Cricket Stadium,Riyan Parag,Bhuvneshwar Kumar,10,2,98,3,44,3,211
Royal Challengers Bangalore,Punjab Kings,M. Chinnaswamy Stadium,Anuj Rawat,Kagiso Rabada,19,3,163,7,62,2,164
Delhi Capitals,Punjab Kings,Wankhede Stadium,Rishabh Pant,Nathan Ellis,10,6,80,0,44,1,159
Gujarat Titans,Royal Challengers Bangalore,Barsapara Stadium Guwahati,Kane Williamson,Akash Deep,8,2,54,2,21,1,154
Gujarat Titans,Delhi Capitals,Ekana Cricket Stadium,David Miller,Khaleel Ahmed,1,2,0,0,37,0,1
Chennai Super Kings,Kolkata Knight Riders,Arun Jaitley Stadium,Shivam Dube,Vaibhav Arora,3,6,12,0,37,1,77
Mumbai Indians,Rajasthan Royals,PCA Stadium Mohali,Tilak Varma,Trent Boult,10,5,90,4,57,1,177
Mumbai Indians,Rajasthan Royals,Barsapara Stadium Guwahati,Rohit Sharma,Avesh Khan,3,6,18,1,38,3,112
Gujarat Titans,Punjab Kings,PCA Stadium Mohali,Shubman Gill,Arshdeep Singh,11,2,74,5,45,0,137
Punjab Kings,Delhi Capitals,Rajiv Gandhi Intl. Cricket Stadium,Shashank Singh,Jhye Richardson,16,3,149,5,48,1,195
Mumbai Indians,Kolkata Knight Riders,Barsapara Stadium Guwahati,Suryakumar Yadav,Harshit Rana,19,3,130,3,40,4,176
Punjab Kings,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Shashank Singh,Karn Sharma,1,1,2,0,52,0,73
Kolkata Knight Riders,Rajasthan Royals,Narendra Modi Stadium,Phil Salt,R Ashwin,11,6,89,6,33,2,188
Chennai Super Kings,Royal Challengers Bangalore,Arun Jaitley Stadium,Ajinkya Rahane,Mohammed Siraj,12,5,89,2,36,2,145
Chennai Super Kings,Sunrisers Hyderabad,MA Chidambaram Stadium,Moeen Ali,T Natarajan,1,1,4,0,39,2,69
Delhi Capitals,Sunrisers Hyderabad,PCA Stadium Mohali,Tristan Stubbs,T Natarajan,12,4,98,6,38,2,161
Rajasthan Royals,Mumbai Indians,M. Chinnaswamy Stadium,Yashasvi Jaiswal,Gerald Coetzee,10,3,74,3,50,3,167
Chennai Super Kings,Royal Challengers Bangalore,PCA Stadium Mohali,Daryl Mitchell,Lockie Ferguson,14,4,125,2,37,1,163
Gujarat Titans,Mumbai Indians,Sawai Mansingh Stadium,Sai Sudharsan,Nuwan Thushara,6,6,43,1,39,1,148
Chennai Super Kings,Delhi Capitals,Arun Jaitley Stadium,Ruturaj Gaikwad,Lalit Yadav,12,5,115,5,54,1,202
Mumbai Indians,Delhi Capitals,PCA Stadium Mohali,Dewald Brevis,Jhye Richardson,7,6,76,5,29,1,218
Lucknow Super Giants,Rajasthan Royals,HPCA Stadium Dharamsala,Quinton de Kock,Avesh Khan,15,5,106,5,5,0,127
Delhi Capitals,Sunrisers Hyderabad,Sawai Mansingh Stadium,Jake Fraser-McGurk,Mayank Markande,18,2,135,3,26,1,156
Sunrisers Hyderabad,Gujarat Titans,MA Chidambaram Stadium,Glenn Phillips,Mohit Sharma,19,3,138,3,29,1,155
Chennai Super Kings,Lucknow Super Giants,PCA Stadium Mohali,MS Dhoni,Ravi Bishnoi,20,3,183,7,70,3,201
Delhi Capitals,Royal Challengers Bangalore,Ekana Cricket Stadium,Harry Brook,Lockie Ferguson,1,2,9,0,23,1,185
Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,Shimron Hetmyer,Harpreet Brar,9,5,77,5,41,1,189
Chennai Super Kings,Punjab Kings,Narendra Modi Stadium,Ruturaj Gaikwad,Kagiso Rabada,9,2,46,3,32,1,125
Rajasthan Royals,Delhi Capitals,Eden Gardens,Dhruv Jurel,Anrich Nortje,9,4,65,4,27,3,153
Gujarat Titans,Chennai Super Kings,MA Chidambaram Stadium,Shahrukh Khan,Deepak Chahar,10,3,85,3,59,3,205
Royal Challengers Bangalore,Gujarat Titans,Arun Jaitley Stadium,Mahipal Lomror,Mohit Sharma,11,3,100,5,36,0,159
Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Rohit Sharma,Mitchell Starc,15,2,148,4,49,2,211
Sunrisers Hyderabad,Lucknow Super Giants,PCA Stadium Mohali,Mayank Agarwal,Shamar Joseph,14,5,124,3,51,0,164
Sunrisers Hyderabad,Kolkata Knight Riders,HPCA Stadium Dharamsala,Abhishek Sharma,Mujeeb Ur Rahman,6,1,46,2,39,0,179
Chennai Super Kings,Mumbai Indians,PCA Stadium Mohali,Devon Conway,Gerald Coetzee,11,2,78,2,40,2,167
Punjab Kings,Kolkata Knight Riders,Eden Gardens,Ashutosh Sharma,Vaibhav Arora,18,3,171,5,33,0,220
Lucknow Super Giants,Gujarat Titans,Narendra Modi Stadium,Kyle Mayers,Darshan Nalkande,10,4,82,4,46,0,178
Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,Ruturaj Gaikwad,Anrich Nortje,15,4,98,3,59,2,155
Chennai Super Kings,Sunrisers Hyderabad,Barsapara Stadium Guwahati,Devon Conway,Bhuvneshwar Kumar,14,4,124,3,23,0,181
